Iteration,Discriminator Loss,Generator Loss
5070,1.507668,0.575156
5080,1.277938,0.583164
5090,1.306010,0.667912
5100,1.158816,0.706682
5110,1.265567,0.654574
5120,1.301572,0.672383
5130,1.358363,0.693181
5140,1.317857,0.598943
5150,1.135497,0.581767
5160,1.285976,0.483322
5170,1.321752,0.718652
5180,1.053468,0.507640
5190,1.357116,0.652190
5200,1.371378,0.528325
5210,1.358289,0.587721
5220,1.274062,0.459544
5230,1.330948,0.743928
5240,1.325793,0.538205
5250,1.318266,0.695227
5260,1.231297,0.734481
5270,1.318154,0.665628
5280,1.350153,0.680054
5290,1.387841,0.636142
5300,1.360264,0.692971
5310,1.240928,0.491936
5320,1.274577,0.458820
5330,1.177567,0.430038
5340,1.283938,0.578045
5350,1.324405,0.710245
5360,1.162872,0.542928
5370,1.266440,0.652021
5380,1.440525,0.624058
5390,1.325770,0.710940
5400,1.340479,0.700377
5410,1.255670,0.598731
5420,1.214031,0.533233
5430,1.331103,0.690591
5440,1.292998,0.547676
5450,1.327191,0.616600
5460,1.268809,0.731605
5470,1.342669,0.746505
5480,1.339766,0.695433
5490,1.517211,0.433424
5500,1.258164,0.553600
5510,1.339548,0.606687
5520,1.372679,0.716891
5530,1.291639,0.564208
5540,1.305877,0.712801
5550,1.365188,0.706950
5560,1.125673,0.468948
5570,1.304187,0.753932
5580,1.337497,0.713022
5590,1.223688,0.588671
5600,1.400498,0.401939
5610,1.342363,0.619954
5620,1.227614,0.546026
5630,1.376745,0.408220
5640,1.380271,0.781167
5650,1.366036,0.554543
5660,1.424498,0.709298
5670,1.149725,0.456700
5680,1.334556,0.678733
5690,2.043151,0.425300
5700,1.314924,0.700320
5710,1.342757,0.668225
5720,1.374797,0.641140
5730,1.306402,0.657010
5740,1.245352,0.659186
5750,1.555334,0.549509
5760,1.201225,0.496484
5770,1.289872,0.713330
5780,1.360628,0.682934
5790,1.349369,0.710315
5800,1.357773,0.696843
5810,1.131928,0.629715
5820,1.266091,0.574334
5830,1.363365,0.731974
5840,1.356369,0.601606
5850,1.211816,0.601312
5860,1.398393,0.645239
5870,1.320188,0.606334
5880,1.341923,0.640715
5890,1.340950,0.702283
5900,1.305244,0.665947
5910,1.347941,0.675533
5920,1.228735,0.485184
5930,1.239293,0.656431
5940,1.297551,0.611421
5950,1.238710,0.633585
5960,1.382007,0.459398
5970,1.304315,0.617411
5980,1.334420,0.602544
5990,1.399846,0.654462
6000,1.532682,0.599252
6010,1.591623,0.653816
6020,1.340681,0.493785
6030,1.330911,0.653633
6040,1.346568,0.785884
6050,1.353490,0.594458
6060,1.351306,0.694236
6070,1.474888,0.638655
6080,1.388842,0.515334
6090,1.264538,0.674078
6100,1.301328,0.557716
6110,1.346991,0.711057
6120,1.335841,0.719704
6130,1.422352,0.512710
6140,1.631765,0.558656
6150,1.346589,0.720439
6160,1.347210,0.766601
6170,1.285247,0.488603
6180,1.350863,0.669974
6190,1.352112,0.672410
6200,1.304166,0.569520
6210,1.307030,0.547188
6220,1.325308,0.617582
6230,1.399728,0.746737
6240,1.249509,0.493046
6250,1.350430,0.670080
6260,1.386797,0.759346
6270,1.366570,0.683751
6280,1.376949,0.535652
6290,1.373890,0.728193
6300,1.372897,0.577063
6310,1.333348,0.410796
6320,1.336319,0.716784
6330,1.386410,0.523860
6340,1.357163,0.628439
6350,1.309173,0.657222
6360,1.342597,0.718816
6370,1.348247,0.748128
6380,1.359034,0.697802
6390,1.583377,0.524117
6400,1.185620,0.414412
6410,1.372023,0.652214
6420,1.306319,0.569508
6430,1.474264,0.545660
6440,1.356587,0.742706
6450,1.537826,0.390746
6460,1.256046,0.531139
6470,1.349436,0.679505
6480,1.402041,0.763601
6490,1.349244,0.651337
6500,1.309130,0.495374
6510,1.346890,0.594611
6520,1.366213,0.681126
6530,1.352387,0.739683
6540,1.276135,0.531875
6550,1.441371,0.630251
6560,1.345675,0.677833
6570,1.390443,0.703564
6580,1.300467,0.573464
6590,1.374888,0.725824
6600,1.299135,0.642109
6610,1.390809,0.685780
6620,1.218419,0.571535
6630,1.354388,0.493138
6640,1.358583,0.445166
6650,1.333063,0.627434
6660,1.328584,0.621754
6670,1.253529,0.610186
6680,1.466842,0.591152
6690,1.385164,0.689357
6700,1.317124,0.459208
6710,1.336426,0.736524
6720,1.355508,0.677642
6730,1.273314,0.438027
6740,1.374366,0.497037
6750,1.347120,0.668431
6760,1.462593,0.635620
6770,1.177331,0.694968
6780,1.179134,0.545906
6790,1.256362,0.633021
6800,1.184771,0.632656
6810,1.370441,0.693325
6820,1.250919,0.495751
6830,1.368729,0.549567
6840,1.435171,0.471454
6850,1.299878,0.668273
6860,1.308975,0.642278
6870,1.355058,0.487569
6880,1.317081,0.676163
6890,1.357233,0.710226
6900,1.448205,0.396740
6910,1.336879,0.655959
6920,1.345175,0.652880
6930,1.253690,0.638863
6940,1.300639,0.675487
6950,1.371311,0.633585
6960,1.358570,0.624678
6970,1.388478,0.714547
6980,1.363723,0.704606
6990,1.363330,0.689503
7000,1.154600,0.512534
7010,1.301585,0.684646
7020,1.369694,0.416694
7030,1.291042,0.630080
7040,1.278139,0.661428
7050,1.231906,0.606001
7060,1.372384,0.584133
7070,1.287633,0.524301
7080,1.273396,0.627059
7090,1.354331,0.734678
7100,1.258945,0.540614
7110,1.306170,0.683040
7120,1.353846,0.705415
7130,1.360775,0.740355
7140,1.439409,0.668526
7150,1.467010,0.612561
7160,1.374323,0.653225
7170,1.184765,0.560115
7180,1.286003,0.634956
7190,1.361606,0.765455
7200,1.418223,0.621113
7210,1.288357,0.531807
7220,1.319268,0.606343
7230,1.331501,0.640472
7240,1.342634,0.700505
7250,1.346617,0.748517
7260,1.351468,0.437220
7270,1.535983,0.563520
7280,1.358346,0.672785
7290,1.287253,0.556391
7300,1.351001,0.721052
7310,1.214743,0.478383
7320,1.340624,0.599266
7330,1.280938,0.613632
7340,1.346289,0.734485
7350,1.362352,0.727744
7360,1.358562,0.714637
7370,1.256094,0.626731
7380,1.481225,0.446230
7390,1.300224,0.521172
7400,1.405158,0.670802
7410,1.296317,0.495586
7420,1.370384,0.772873
7430,1.330978,0.408850
7440,1.277498,0.602013
7450,1.233962,0.567213
7460,1.221113,0.641696
7470,1.144552,0.495801
7480,1.446605,0.603919
7490,1.379573,0.736410
7500,1.339012,0.462651
7510,1.319657,0.714828
7520,1.294952,0.765750
7530,1.292566,0.642499
7540,1.327558,0.667694
7550,1.470273,0.488570
7560,1.370650,0.590936
7570,1.255982,0.424699
7580,1.213094,0.527834
7590,1.299774,0.498047
7600,1.358568,0.528666
7610,1.379967,0.563313
7620,1.104669,0.461945
7630,1.389817,0.686284
7640,1.443223,0.581135
7650,1.370732,0.625756
7660,1.535501,0.691811
7670,1.450189,0.406671
7680,1.258899,0.701967
7690,1.293478,0.832695
7700,1.259014,0.637763
7710,1.255938,0.504649
7720,1.352539,0.679901
7730,1.380258,0.769244
7740,1.390984,0.754234
7750,1.351992,0.726448
7760,1.364205,0.553459
7770,1.140659,0.443055
7780,1.348928,0.736749
7790,1.307907,0.677388
7800,1.173065,0.425619
7810,1.360828,0.537852
7820,1.376845,0.690679
7830,1.388454,0.711429
7840,1.359155,0.686844
7850,1.328065,0.642675
7860,1.351677,0.692462
7870,1.351491,0.732440
7880,1.420689,0.419168
7890,1.239764,0.638792
7900,1.357920,0.750204
7910,1.419349,0.424686
7920,1.348084,0.703121
7930,1.299916,0.691708
7940,1.340721,0.723366
7950,1.318657,0.667251
7960,1.265227,0.706721
7970,1.307321,0.694993
7980,1.364489,0.685000
7990,1.286548,0.496352
8000,1.472934,0.605404
8010,1.306969,0.423474
8020,1.199991,0.435586
8030,1.511565,0.558933
8040,1.178357,0.446662
8050,1.341009,0.729168
8060,1.299238,0.668029
8070,1.336564,0.652779
8080,1.290739,0.677661
8090,1.247644,0.547356
8100,1.361860,0.684125
8110,1.381112,0.635530
8120,1.266182,0.651264
8130,1.123910,0.448207
8140,1.464153,0.677440
8150,1.320322,0.686778
8160,1.376006,0.764296
8170,1.329903,0.717641
8180,1.360564,0.665423
8190,1.357733,0.511889
8200,1.210368,0.675641
8210,1.262732,0.824813
8220,1.385278,0.660057
8230,1.404374,0.862425
8240,1.363973,0.429293
8250,1.129960,0.571649
8260,1.347655,0.634531
8270,1.396224,0.683647
8280,1.353403,0.488675
8290,1.279882,0.680173
8300,1.371514,0.775220
8310,1.324248,0.573389
8320,1.348061,0.726898
8330,1.286961,0.478348
8340,1.346010,0.654732
8350,1.411208,0.379762
8360,1.438522,0.925806
8370,1.356298,0.664116
8380,1.549268,0.336495
8390,1.429262,0.445059
8400,1.260395,0.582202
8410,1.255939,0.561516
8420,1.347817,0.660160
8430,1.298229,0.672521
8440,1.394042,0.411143
